# ============================================================
# TỪ ĐIỂN TEENCODE, VIẾT TẮT & THUẬT NGỮ IT - BÀI TOÁN ITVIEC
# ============================================================

1on1	cuộc họp một một
a	anh
acc	account
ace	anh chị em
ad	quản trị viên
ae	anh em
agile	mô hình agile
ah	à
ak	à
apply	ứng tuyển
atrai	anh trai
ba	phân tích nghiệp vụ
backlog	danh sách công việc tồn đọng
baoh	bao giờ
bbè	bạn bè
be	backend
benefit	phúc lợi
benefits	phúc lợi
bgái	bạn gái
bh	bây giờ
biet	biết
bik	biết
biêt	biết
bme	bố mẹ
bn	bạn
bnhiu	bao nhiêu
bnhiêu	bao nhiêu
bonus	tiền thưởng
bsĩ	bác sĩ
bth	bình thường
bthường	bình thường
btrai	bạn trai
bug	lỗi phần mềm
buôg	buông
bìh	bình
bóg	bóng
bằg	bằng
c	chị
cbị	chuẩn bị
cd	triển khai liên tục
ce	chị em
ceo	giám đốc điều hành
cgai	con gái
chill	thư giãn dễ chịu
chk	chồng
chta	chúng ta
chug	chung
chuện	chuyện
chàg	chàng
chúg	chúng
chăg	chăng
ci	tích hợp liên tục
cj	chị
ck	chồng
cka	cha
cmnd	chứng minh nhân dân
cmt	comment
cmày	chúng mày
csong	cuộc sống
csống	cuộc sống
cta	chúng ta
cto	giám đốc công nghệ
ctr	chương trình
ctrai	con trai
ctraj	con trai
ctrinh	chương trình
ctrình	chương trình
cty	công ty
ctác	công tác
cv	công việc
cviec	công việc
cx	cũng
càg	càng
cùg	cùng
cđời	cuộc đời
cũg	cũng
cũng z	cũng vậy
dc	được
deadline	hạn chót
demo	trình diễn sản phẩm
deploy	triển khai
dev	lập trình viên
developer	lập trình viên
dky	đăng ký
dthương	dễ thương
dz	đẹp trai
dzậy	dậy
dàh	dành
dòg	dòng
dừg	dừng
e	em
face	facebook
fb	facebook
fe	frontend
feedback	phản hồi
fen	friend
fix	sửa lỗi
fresher	nhân viên mới
fullstack	lập trình viên fullstack
fải	phải
giốg	giống
gđ	gia đình
gđình	gia đình
gắg	gắng
hahah	ha ha
haj	hai
hajzz	hai
hanoi	hà nội
hd	hóa đơn
hic	hích
hjhj	hi hi
hjx	hix
hkì	học kỳ
hnay	hôm nay
hok	không
hoy	thôi
hphúc	hạnh phúc
hqua	hôm qua
hr	nhân sự
hsơ	hồ sơ
htrc	hôm trước
hybrid	làm việc kết hợp
hìh	hình
hìhì	hì hì
hôg	không
hđộng	hành động
họk	học
ib	inbox
ik	ý
in4	info
insta	instagram
insurance	bảo hiểm
intern	thực tập sinh
internship	thực tập
iu	yêu
j	gì
jd	mô tả công việc
ji	gì
jo	giờ
junior	nhân viên mới
júp	giúp
k	không
kb	kết bạn
kg	không
kh	không
khg	không
khoảg	khoảng
khôg	không
kih	kinh
klq	không liên quan
ko	không
kpi	chỉ tiêu hiệu suất
kqua	kết quả
ks	khách sạn
ksao	không sao
kte	kinh tế
ktra	kiểm tra
kêh	kênh
kòn	còn
kô	không
kũg	cũng
kảm	cảm
kậu	cậu
kủa	của
layoff	sa thải
lead	trưởng nhóm
lgi	làm gì
llac	liên lạc
lm	làm
lquan	liên quan
lquen	làm quen
ltinh	linh tinh
lz	làm gì
lzi	làm gì
lòg	lòng
lúk	lúc
lạh	lạnh
lặg	lặng
meeting	họp
mentor	người hướng dẫn
mgr	quản lý
micromanage	quản lý vi mô soi mói
micromanagement	quản lý vi mô soi mói
mih	mình
mik	mình
mjh	mình
mk	mình
mn	mọi người
mng	mọi người
mqh	mối quan hệ
mr	yêu cầu gộp mã
ms	mới
mìnk	mình
mớj	mới
nch	nói chuyện
ng	người
ngag	ngang
nghành	ngành
ngke	nghe
ngkhác	người khác
ngta	người ta
nguoi	người
nguời	người
ngyeu	người yêu
ngàh	ngành
ngèo	nghèo
ngđo	người đó
ngđó	người đó
ngừoi	người
nhaa	nha
nhiềuuu	nhiều
nhjeu	nhiều
nhoé	nhé
nhìu	nhiều
nhưg	nhưng
nhưq	nhưng
nhữg	những
nkư	như
nkưng	nhưng
note	chú ý
ns	nói
nta	người ta
nthe	như thế
nthê	như thế
nthế	như thế
ntn	như thế nào
ntnày	như thế này
nvay	như vậy
nvậy	như vậy
nx	nhận xét
ny	người yêu
nyc	người yêu cũ
nyêu	người yêu
nàg	nàng
nèk	nè
năg	năng
nắg	nắng
nặg	nặng
offboard	nghỉ việc
offer	đề nghị việc làm
offshore	gia công nước ngoài
oh	ồ
okr	mục tiêu then chốt
on lai	online
onboard	bắt đầu làm việc
onl	online
onsite	làm việc tại trụ sở khách hàng
ot	ot
outsource	gia công phần mềm
outsourcing	gia công phần mềm
overtime	ot
oy	rồi
package	gói lương thưởng
phog	phong
phòg	phòng
pm	quản lý dự án
pn	bạn
po	chủ sản phẩm
pr	yêu cầu gộp mã
probation	thử việc
product	sản phẩm
qa	đảm bảo chất lượng
qc	kiểm thử chất lượng
qhe	quan hệ
qhệ	quan hệ
qtam	quan tâm
qtrọng	quan trọng
quí	quý
qà	quà
qá	quá
qả	quả
r	rồi
refactor	tái cấu trúc code
release	phát hành
remote	làm việc từ xa
remote 100%	làm việc từ xa hoàn toàn
resign	nghỉ việc
retro	họp đánh giá sprint
review	đánh giá
riêg	riêng
rì	gì
răg	răng
rằg	rằng
rồii	rồi
salary	mức lương
scrum	mô hình scrum
senior	chuyên viên cấp cao
sg	sài gòn
ship	giao hàng
shiper	người giao hàng
sm	scrum master
snghĩ	suy nghĩ
sp	sản phẩm
sprint	giai đoạn phát triển
sr	sorry
stack	công nghệ
standup	họp nhanh
stk	số tài khoản
sub	subscribe
sviên	sinh viên
sđt	số điện thoại
sốg	sống
task	công việc
tcảm	tình cảm
team lead	trưởng nhóm
tech	công nghệ
tech lead	trưởng nhóm kỹ thuật
techlead	trưởng nhóm kỹ thuật
tester	kiểm thử
tgian	thời gian
thgian	thời gian
thich	thích
thik	thích
thjc	thích
thjk	thích
thoy	thôi
thuơng	thương
thàh	thành
thíck	thích
thík	thích
thôii	thôi
thým	thím
thươg	thương
thườg	thường
thằg	thằng
thẳg	thẳng
thỳ	thì
tiếg	tiếng
tks	thanks
tl	trả lời
tlai	tương lai
tnào	thế nào
tphcm	thành phố hồ chí minh
tq	trung quốc
trag	trang
trc	trước
trieu	triệu
trog	trong
trể	trễ
trọg	trọng
tym	tim
tyêu	tình yêu
tìh	tình
tíh	tính
tưởg	tưởng
tượg	tượng
từg	từng
uh	ừ
uhm	ừm
ui	giao diện người dùng
ukm	ừm
ux	trải nghiệm người dùng
uốg	uống
vc	vợ chồng
vch	vãi chưởng
vcl	vô cùng lớn
vd	ví dụ
vde	vấn đề
vk	vợ
vn	việt nam
vs	với
vv	vui vẻ
vđê	vấn đề
vọg	vọng
wa	quá
wfh	làm việc tại nhà
wtâm	quan tâm
wá	quá
xg	xuống
xih	xinh
xink	xinh
xl	xin lỗi
xloi	xin lỗi
xog	xong
xuốg	xuống
ytb	youtube
z	vậy
z là	vậy là
zui	vui
zà	gìa
zám	dám
zô	vô
zùi	rồi
zạ	vậy
zậy	vậy
zẻ	vẻ
zồi	rồi
àk	à
đag	đang
đc	được
đhọc	đại học
đii	đi
đki	đăng ký
đkiện	điều kiện
đt	điện thoại
đthoai	điện thoại
đthoại	điện thoại
đuợc	được
đág	đáng
đáh	đánh
đóg	đóng
đôg	đông
đươc	được
địh	định
đồg	đồng
độg	động
đứg	đứng
ơiii	ơi
ạh	ạ
